,gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
253,2017-03-03T14:09:19,33.6392947,-112.2275825,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
264,2017-03-03T14:09:30,33.6392947,-112.2275825,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,3.0,0.0,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
275,2017-03-03T14:09:41,33.6392925,-112.2275803,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,72.0,0.0,1.0,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.126890297,-0.126890297,0.454545454545,2.18181818182,2.0,0.0,2.0
286,2017-03-03T14:09:52,33.6392904,-112.2275825,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16647.9192271,0.0,70.0,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
297,2017-03-03T14:10:03,33.6392904,-112.2275846,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
308,2017-03-03T14:10:14,33.6392904,-112.2275846,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.126890297,-0.126890297,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
319,2017-03-03T14:10:25,33.6392904,-112.2275846,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.126890297,-0.126890297,0.454545454545,2.18181818182,2.0,0.0,2.0
330,2017-03-03T14:10:36,33.6392925,-112.2275846,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.4,1.0,-88.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
341,2017-03-03T14:10:47,33.6392882,-112.2276432,0.0,0.0,999.0,999.0,3.0,1.068758451,0.0,0.0,1.0,-492.0,16446.0,0.0,70.0,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.177646416,-0.177646416,0.454545454545,2.18181818182,2.0,0.0,2.0
352,2017-03-03T14:10:58,33.639273,-112.2276606,0.0,0.6625,999.0,999.0,3.0,7.593155969,1121.09375,0.0,1.0,181.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
363,2017-03-03T14:11:09,33.6390104,-112.2273893,0.0,0.244,999.0,999.0,3.0,16.82051817,1311.71875,0.06,1.0,-3.0,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-1.015122379,-1.015122379,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
374,2017-03-03T14:11:20,33.6387847,-112.2268859,0.0,0.6515,999.0,999.0,3.0,17.42324823,1159.375,0.0,1.0,6.0,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
385,2017-03-03T14:11:31,33.6383594,-112.2270009,0.0,2.8625,999.0,999.0,3.0,20.54253162,2557.8125,0.0,1.0,22.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.0,0.0,2.0,1.85365853659,2.0,1.92682926829,2.0,2.334781471,2.334781471,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
